d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
0,0.050225,0.04665,0.049025,0.044975,0.050325,0.0476,0.050325,0.045875,0.050225,0.04695,0.05195,0.04725,0.050625,0.047025,0.05065,0.04725
0.6666666666666666,0.054975,0.050775,0.053225,0.0485,0.0565,0.053,0.054925,0.050175,0.0553,0.0524,0.0696,0.071325,0.056575,0.0525,0.057275,0.054025
1.3333333333333333,0.0602,0.055999999999999994,0.056825,0.05255,0.062725,0.05815,0.0595,0.053775,0.060975,0.058225,0.091725,0.102875,0.06285,0.0588,0.06385,0.06175
2,0.065225,0.061025,0.06085,0.05755,0.069925,0.06475,0.0648,0.0592,0.06765,0.063575,0.118925,0.142125,0.070125,0.06595,0.07145,0.070125
2.6666666666666665,0.07185,0.066375,0.065775,0.062225,0.07725,0.071025,0.0703,0.0648,0.074875,0.07,0.150175,0.19,0.07725,0.073275,0.079775,0.0797
3.333333333333333,0.07765,0.0714,0.07095,0.06735,0.085925,0.07825,0.0766,0.070325,0.08285,0.0768,0.1836,0.2417,0.085425,0.081525,0.087425,0.090225
4,0.084475,0.077425,0.07665,0.072175,0.09425,0.086925,0.082875,0.0761,0.091425,0.08445,0.218475,0.29405,0.095175,0.089875,0.09565,0.101625
4.666666666666666,0.091425,0.08325,0.0823,0.077725,0.10365,0.0959,0.08975,0.082575,0.099775,0.09205,0.25365,0.348025,0.10495,0.098925,0.105075,0.113225
5.333333333333333,0.0994,0.089925,0.088675,0.08345,0.112975,0.104725,0.0976,0.088675,0.109675,0.100975,0.2889,0.403525,0.115975,0.108725,0.11525,0.1261
6,0.107675,0.097225,0.09555,0.08995,0.122825,0.115125,0.10535,0.096275,0.119875,0.11015,0.32415,0.45255,0.127725,0.118625,0.12575,0.13995
6.666666666666666,0.115525,0.104625,0.1021,0.096175,0.134075,0.125625,0.11425,0.103875,0.13075,0.120325,0.357875,0.49975,0.1388,0.129675,0.137025,0.15345
7.333333333333333,0.124175,0.11245,0.109825,0.102575,0.146625,0.136925,0.1225,0.111675,0.140825,0.130775,0.389325,0.542075,0.150925,0.142075,0.1492,0.16815
8,0.133475,0.12125,0.117075,0.11055,0.159675,0.148275,0.132175,0.119575,0.1528,0.1413,0.41955,0.582375,0.16365,0.154475,0.161975,0.183975
8.666666666666666,0.142925,0.13,0.125275,0.1179,0.173525,0.15995,0.14225,0.128025,0.1656,0.15275,0.4471,0.618325,0.1781,0.166875,0.17515,0.199775
9.333333333333332,0.15315,0.139275,0.1339,0.125975,0.188025,0.17295,0.1522,0.1372,0.17865,0.16495,0.47525,0.650275,0.192325,0.181825,0.18865,0.21615
10,0.16295,0.148125,0.1427,0.133575,0.2036,0.187175,0.162375,0.147475,0.19195,0.1766,0.5002,0.6799,0.207975,0.1967,0.202625,0.233225
10.666666666666666,0.173225,0.15745,0.15245,0.142375,0.218325,0.20215,0.1739,0.157375,0.206275,0.1907,0.52385,0.70625,0.223575,0.212575,0.2175,0.2501
11.333333333333332,0.184625,0.167925,0.161175,0.150975,0.235725,0.2181,0.185225,0.16755,0.221625,0.204625,0.54505,0.730525,0.239575,0.229375,0.232825,0.268
12,0.1969,0.17885,0.1717,0.159925,0.252225,0.23335,0.1972,0.17815,0.2364,0.21875,0.563475,0.75235,0.25715,0.2453,0.24935,0.28605
12.666666666666666,0.209225,0.189275,0.181925,0.168375,0.268025,0.2492,0.21,0.1895,0.251675,0.233275,0.58125,0.77295,0.275375,0.262825,0.2651,0.30415
13.333333333333332,0.221575,0.199725,0.192525,0.177825,0.28625,0.264625,0.2232,0.200375,0.26795,0.2476,0.59835,0.79065,0.2937,0.280475,0.28205,0.32305
14,0.2348,0.211225,0.204,0.18755,0.3044,0.28195,0.23665,0.212775,0.284175,0.263125,0.614775,0.80765,0.3125,0.298625,0.299,0.342575
