d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
0,0.050225,0.04665,0.049025,0.044975,0.050325,0.0476,0.050325,0.045875,0.050225,0.04695,0.05195,0.04725,0.050625,0.047025,0.05065,0.04725
1,0.055,0.0508,0.053175,0.048675,0.056475,0.053025,0.05495,0.050075,0.055225,0.0526,0.0697,0.071525,0.05665,0.0525,0.0573,0.05455
2,0.06025,0.055975,0.056825,0.052325,0.0628,0.05845,0.05955,0.05415,0.060925,0.0581,0.0918,0.1036,0.063025,0.058875,0.06395,0.0626
3,0.0653,0.06075,0.061075,0.056925,0.07005,0.06455,0.0648,0.058675,0.067725,0.063575,0.119425,0.143125,0.0702,0.066375,0.071775,0.071875
4,0.071625,0.0663,0.065825,0.06245,0.07725,0.070375,0.070525,0.064375,0.074925,0.07,0.15045,0.189725,0.077175,0.073525,0.0801,0.0825
5,0.077575,0.07155,0.070875,0.0672,0.085825,0.0779,0.076525,0.0707,0.082975,0.077075,0.184425,0.24445,0.085825,0.0824,0.0877,0.093425
6,0.084175,0.07755,0.076675,0.072525,0.09425,0.0866,0.082775,0.07615,0.091675,0.084775,0.219425,0.300075,0.094975,0.0912,0.096075,0.10485
7,0.091575,0.083625,0.08265,0.0774,0.103775,0.096175,0.089725,0.0828,0.099975,0.0926,0.255025,0.35395,0.10515,0.100025,0.105625,0.117625
8,0.099625,0.090325,0.0887,0.0832,0.112825,0.1049,0.097275,0.088825,0.1099,0.10165,0.2903,0.410625,0.1165,0.1103,0.115575,0.130375
9,0.10755,0.0974,0.09575,0.08965,0.12315,0.1149,0.10505,0.09605,0.120075,0.11105,0.32645,0.4637,0.12785,0.1205,0.1264,0.144925
10,0.116075,0.104825,0.10205,0.0954,0.13395,0.12505,0.11455,0.1033,0.130675,0.121125,0.359425,0.5113,0.139425,0.131875,0.1377,0.159275
11,0.124425,0.11325,0.1097,0.102225,0.146975,0.1364,0.123325,0.1108,0.1411,0.1315,0.3917,0.556625,0.1521,0.14385,0.14975,0.1748
12,0.1338,0.122225,0.1174,0.109375,0.1601,0.14805,0.1324,0.11905,0.15295,0.142225,0.421325,0.5982,0.164625,0.15725,0.16255,0.19035
13,0.143325,0.1301,0.12525,0.117325,0.17385,0.160075,0.142125,0.12805,0.16545,0.15375,0.44925,0.63505,0.178775,0.1706,0.17525,0.2066
14,0.152825,0.138825,0.133975,0.1255,0.18835,0.1734,0.152625,0.1368,0.179075,0.164475,0.4779,0.66705,0.192975,0.184425,0.1889,0.22365
15,0.16305,0.14805,0.14275,0.13335,0.203475,0.18745,0.16335,0.146825,0.193325,0.17625,0.503025,0.696325,0.2085,0.1995,0.2029,0.240875
16,0.174175,0.158025,0.152925,0.14195,0.219275,0.202825,0.1746,0.15635,0.207025,0.19005,0.52605,0.723375,0.22475,0.214675,0.218175,0.259075
17,0.1856,0.16855,0.161725,0.151,0.23545,0.21945,0.185825,0.167125,0.22195,0.203975,0.5472,0.7481,0.240375,0.2306,0.23385,0.27585
18,0.197,0.179675,0.17225,0.16045,0.252875,0.2348,0.1978,0.177725,0.23725,0.219025,0.566125,0.769125,0.258,0.247725,0.2492,0.29445
19,0.209725,0.191375,0.18205,0.1702,0.270225,0.25,0.209875,0.18845,0.2529,0.233725,0.583875,0.78835,0.276375,0.264725,0.2661,0.31305
20,0.222875,0.2026,0.193175,0.1805,0.287,0.266775,0.2231,0.200325,0.2692,0.248525,0.601075,0.80735,0.294125,0.2829,0.282325,0.3332
