d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
0.0,0.05064,0.03692,0.0504,0.03692,0.04832,0.036,0.05244,0.0384,0.05312,0.03956,0.05004,0.03756,0.05116,0.03852,0.0494,0.03628
0.8080808080808081,0.05544,0.04104,0.05548,0.0406,0.05552,0.041,0.05712,0.0424,0.0594,0.04372,0.06764,0.0602,0.05788,0.04444,0.05552,0.04412
1.6161616161616161,0.06088,0.04616,0.06088,0.04408,0.06268,0.0462,0.06304,0.0472,0.06544,0.04872,0.09024,0.09168,0.06548,0.05044,0.0628,0.05208
2.4242424242424243,0.06624,0.05004,0.06508,0.0488,0.0708,0.05172,0.0688,0.05216,0.07236,0.05416,0.11956,0.13364,0.07416,0.05712,0.06988,0.06008
3.2323232323232323,0.07364,0.05496,0.07072,0.05356,0.07852,0.0588,0.07496,0.0574,0.07988,0.061,0.15284,0.18092,0.08368,0.06424,0.0788,0.06908
4.040404040404041,0.07916,0.0606,0.07756,0.05892,0.0876,0.06592,0.08256,0.06256,0.08764,0.0682,0.19052,0.23868,0.09456,0.0722,0.08748,0.0798
4.848484848484849,0.08656,0.06704,0.08268,0.06396,0.0978,0.07416,0.08972,0.06836,0.09576,0.07532,0.23016,0.2972,0.10484,0.0816,0.09752,0.0912
5.656565656565657,0.09464,0.07272,0.08996,0.06948,0.1102,0.08324,0.09888,0.07464,0.10624,0.08276,0.26772,0.35392,0.116,0.09104,0.10952,0.10424
6.4646464646464645,0.1036,0.07912,0.09648,0.07548,0.12276,0.09248,0.10688,0.081,0.11664,0.09116,0.3058,0.40972,0.1278,0.10168,0.12208,0.1164
7.2727272727272725,0.11416,0.08588,0.10452,0.08144,0.13556,0.10284,0.11656,0.08812,0.12692,0.1006,0.34068,0.464,0.14152,0.1124,0.13416,0.13052
8.080808080808081,0.12276,0.0932,0.11224,0.08804,0.14888,0.11432,0.1266,0.0956,0.13776,0.11124,0.3774,0.5154,0.15668,0.12428,0.14728,0.14588
8.88888888888889,0.13304,0.10032,0.12068,0.09492,0.16408,0.12676,0.1364,0.10328,0.15104,0.12032,0.40916,0.55892,0.17084,0.13712,0.16152,0.16252
9.696969696969697,0.144,0.10976,0.13004,0.10264,0.1798,0.13932,0.14672,0.11168,0.16404,0.13056,0.43808,0.60548,0.18696,0.15092,0.17604,0.18076
10.505050505050505,0.15492,0.1188,0.13896,0.11016,0.19592,0.15232,0.15676,0.12108,0.17828,0.14236,0.467,0.64328,0.20252,0.16464,0.192,0.19916
11.313131313131313,0.16556,0.12732,0.149,0.11784,0.21404,0.16684,0.16884,0.12964,0.19308,0.15512,0.49152,0.6786,0.21896,0.1804,0.20728,0.21616
12.121212121212121,0.17872,0.1358,0.15928,0.1268,0.22956,0.18276,0.18124,0.13892,0.20772,0.1664,0.5162,0.70936,0.23616,0.19608,0.22284,0.23488
12.929292929292929,0.1942,0.14596,0.1704,0.13608,0.2476,0.19928,0.19524,0.14896,0.22532,0.17932,0.53856,0.73772,0.25372,0.21252,0.2402,0.25428
13.737373737373737,0.20668,0.15724,0.18196,0.14428,0.2658,0.21428,0.20972,0.15984,0.24108,0.19348,0.56,0.762,0.27404,0.23092,0.25868,0.27464
14.545454545454545,0.22124,0.16872,0.19296,0.15408,0.28596,0.23092,0.22532,0.17248,0.25928,0.20872,0.57944,0.78436,0.29364,0.24772,0.27676,0.29552
15.353535353535353,0.23692,0.18016,0.20424,0.16408,0.30676,0.248,0.23996,0.18536,0.27648,0.2236,0.59772,0.8052,0.31548,0.26652,0.2938,0.31468
